Samp_ID,Vol_Filt_L
TN397_U1_A,3
TN397_U1_B,2.9
TN397_U1_C,2.7
TN397_U2_A,5
TN397_U2_B,5
TN397_U2_C,5
TN397_U3_A,5
TN397_U3_B,4.9
TN397_U3_C,5
TN397_U4_A,4.25
TN397_U4_B,4.25
TN397_U4_C,4.25
TN397_MQBlk1_A,5
TN397_MQBlk1_B,5
TN397_MQBlk1_C,5
TN397_UnfiltMQ1_A,NA
TN397_UnfiltMQ1_B,NA
TN397_UnfiltMQ1_C,NA
TN397_U5_A,3.4
TN397_U5_B,3
TN397_U5_C,3.6
TN397_DFBlk1_A,3.4
TN397_DFBlk1_B,3
TN397_DFBlk1_C,3.6
TN397_S1_U_A,5
TN397_S1_U_B,5
TN397_S1_U_C,5
TN397_S2_U_A,5
TN397_S2_U_B,5
TN397_S2_U_C,5
TN397_U6_A,5
TN397_U6_B,5
TN397_U6_C,5
TN397_U7_A,5
TN397_U7_B,5
TN397_U7_C,5
TN397_U8_BB,10
TN397_S3_U_A,5
TN397_S3_U_B,5
TN397_S3_U_C,5
TN397_S4_U_600_A,5
TN397_S4_U_600_B,5
TN397_S4_U_600_C,5
TN397_S4_U_1800_A,5
TN397_S4_U_1800_B,5
TN397_S4_U_1800_C,5
TN397_S4_2400_U_A,5
TN397_S4_2400_U_B,5
TN397_S4_2400_U_C,5
TN397_S6_U_A,5
TN397_S6_U_B,5
TN397_S6_U_C,5
TN397_U9_A,5
TN397_U9_B,5
TN397_U9_C,5
TN397_S7_600_U_A,5
TN397_S7_600_U_B,5
TN397_S7_600_U_C,5
TN397_S7_1800_U_A,5
TN397_S7_1800_U_B,5
TN397_S7_1800_U_C,5
TN397_S8_U_A,5
TN397_S8_U_B,5
TN397_S8_U_C,5
TN397_U10_A,5
TN397_U10_B,5
TN397_U10_C,5
TN397_S9_600_U_A,5
TN397_S9_600_U_B,5
TN397_S9_600_U_C,5
TN397_S9_BB_A,10.5
TN397_S9_BB_B,11
TN397_S9_1800_U_A,5
TN397_S9_1800_U_B,5
TN397_S9_1800_U_C,5
TN397_U11_A,5
TN397_U11_B,5
TN397_U11_C,5
TN397_S10_U_A,5
TN397_S10_U_B,5
TN397_S10_U_C,5
TN397_S11_600_U_A,5
TN397_S11_600_U_B,5
TN397_S11_600_U_C,5
TN397_S11_1800_U_A,5
TN397_S11_1800_U_B,5
TN397_S11_1800_U_C,5
TN397_U12_A,5
TN397_U12_B,5
TN397_U12_C,5
TN397_S12_800_U_A,5
TN397_S12_800_U_B,5
TN397_S12_800_U_C,5
TN397_S12_800_U_Vit,2
TN397_S12_1800_U_A,5
TN397_S12_1800_U_B,5
TN397_S12_1800_U_C,5
TN397_S12_Blk_A,5
TN397_S12_Blk_B,4.5
TN397_S12_Blk_C,5
TN397_S12_600_U_A,5
TN397_S12_600_U_B,5
TN397_S12_600_U_C,5
TN397_U13_A,5
TN397_U13_B,5
TN397_U13_C,5
TN397_S13_1800_U_A,5
TN397_S13_1800_U_B,5
TN397_S13_1800_U_C,5
TN397_S14_U_A,5
TN397_S14_U_B,5
TN397_S14_U_C,5
TN397_S15_U_A,5
TN397_S15_U_B,5
TN397_S15_U_C,5
TN397_S16_U_A,5
TN397_S16_U_B,6
TN397_S16_U_C,6
TN397_S17_U_A,5
TN397_S17_U_B,5
TN397_S17_U_C,5
TN397_S18_U_A,5
TN397_S18_U_B,5
TN397_S18_U_C,5
