experiment_id,station,depth_m,cast,niskin,sample_type,sample_origin,dissolved,particulate,parent_id,sample_id,vol_filt_l,collection_timestamp_UTC,start_filt_timestamp_UTC,end_filt_timestamp_UTC,notes,spike_timestamp_UTC
depth_profiles,1,1,1,10,METABS,CTD,2,1,S1_C1_5m,S1_C1_5m_A,2,2022-06-03T23:00:00Z,2022-06-03T23:30:00Z,NA,NA,NA
depth_profiles,1,1,1,11,METABS,CTD,2,1,S1_C1_5m,S1_C1_5m_B,2,2022-06-03T23:00:00Z,2022-06-03T23:30:00Z,NA,NA,NA
depth_profiles,1,1,1,12,METABS,CTD,2,1,S1_C1_5m,S1_C1_5m_C,2,2022-06-03T23:00:00Z,2022-06-03T23:30:00Z,NA,NA,NA
depth_profiles,1,4,1,4,METABS,CTD,2,1,S1_C1_DCM,S1_C1_DCM_A,2.5,2022-06-03T22:25:00Z,2022-06-04T01:12:00Z,2022-06-04T01:35:00Z,NA,NA
depth_profiles,1,4,1,5,METABS,CTD,2,1,S1_C1_DCM,S1_C1_DCM_B,1.5,2022-06-03T22:25:00Z,2022-06-04T01:00:00Z,2022-06-04T01:05:00Z,NA,NA
depth_profiles,1,4,1,6,METABS,CTD,2,1,S1_C1_DCM,S1_C1_DCM_C,1,2022-06-03T22:25:00Z,2022-06-04T00:00:00Z,2022-06-04T00:30:00Z,BAD,NA
depth_profiles,2,3,1,4,METABS,CTD,2,1,S2_C1_SRF,S2_C1_SRF_A,3.5,2022-06-04T02:30:00Z,2022-06-04T03:02:00Z,2022-06-04T03:55:00Z,CHANGED LABEL,NA
depth_profiles,2,3,1,5,METABS,CTD,2,1,S2_C1_SRF,S2_C1_SRF_B,3,2022-06-04T02:30:00Z,2022-06-04T03:02:00Z,2022-06-04T03:48:00Z,LABELED A,NA
depth_profiles,2,3,1,6,METABS,CTD,2,1,S2_C1_SRF,S2_C1_SRF_C,3.5,2022-06-04T02:30:00Z,2022-06-04T03:02:00Z,2022-06-04T03:41:00Z,NA,NA
depth_profiles,2,135,2,1,METABS,CTD,2,1,S2_C2_D1,S2_C2_D1_A,4.5,2022-06-04T13:30:00Z,2022-06-04T14:02:00Z,2022-06-04T14:53:00Z,NA,NA
depth_profiles,2,135,2,2,METABS,CTD,2,1,S2_C2_D1,S2_C2_D1_B,4.8,2022-06-04T13:30:00Z,2022-06-04T14:02:00Z,2022-06-04T14:52:00Z,NA,NA
depth_profiles,2,135,2,3,METABS,CTD,2,1,S2_C2_D1,S2_C2_D1_C,4.8,2022-06-04T13:30:00Z,2022-06-04T14:02:00Z,2022-06-04T14:45:00Z,NA,NA
